No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
966,STRA,"Strategic Education, Inc.",Services,Education & Training Services,USA,4040.3,,181.75,0.87%,114788
967,BLKB,"Blackbaud, Inc.",Technology,Business Software & Services,USA,4033.73,154.94,83.67,1.01%,85427
968,BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other",USA,4022.38,28.59,45.97,1.30%,303706
969,MSA,MSA Safety Incorporated,Services,Security & Protection Services,USA,3993.39,36.01,104.13,0.61%,42410
970,RGEN,Repligen Corporation,Healthcare,Biotechnology,USA,3992.53,188.07,86.7,1.25%,227708
971,EQC,Equity Commonwealth,Financial,REIT - Office,USA,3988.05,14.32,32.97,-0.06%,319628
972,MAT,"Mattel, Inc.",Consumer Goods,Toys & Games,USA,3984.22,,11.52,1.95%,1558265
973,PSTG,"Pure Storage, Inc.",Technology,Data Storage Devices,USA,3966.41,,15.59,0.91%,3946216
974,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3961.47,164.5,64.32,0.82%,757860
975,FND,"Floor & Decor Holdings, Inc.",Services,Home Improvement Stores,USA,3949.18,38.48,41.91,-0.17%,517065
976,CARG,"CarGurus, Inc.",Services,Auto Dealerships,USA,3932.4,55.31,36.17,0.47%,434015
977,ONCE,"Spark Therapeutics, Inc.",Healthcare,Biotechnology,USA,3929.08,,102.48,0.39%,215082
978,CWK,Cushman & Wakefield plc,Financial,Property Management,USA,3929.04,,18.33,1.50%,221655
979,HQY,"HealthEquity, Inc.",Technology,Healthcare Information Services,USA,3924.39,42.79,62.69,0.29%,485159
980,TXRH,"Texas Roadhouse, Inc.",Services,Restaurants,USA,3915.88,25.14,53.76,2.24%,624680
981,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3914.84,,27.19,1.84%,331365
982,JBT,John Bean Technologies Corporation,Industrial Goods,Diversified Machinery,USA,3907.27,32.45,122.87,-0.23%,81644
983,RLI,RLI Corp.,Financial,Property & Casualty Insurance,USA,3903.01,34.17,87.59,1.21%,62497
984,CLH,"Clean Harbors, Inc.",Industrial Goods,Waste Management,USA,3886.85,50.44,70.67,0.67%,106274
