No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1144,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,2988.56,,34.3,0.32%,245999
1145,COKE,"Coca-Cola Consolidated, Inc.",Consumer Goods,Beverages - Soft Drinks,USA,2979.9,,315,0.68%,24976
1146,CHFC,Chemical Financial Corporation,Financial,Regional - Midwest Banks,USA,2966.89,10.99,41.51,1.12%,191716
1147,SFIX,"Stitch Fix, Inc.",Services,"Specialty Retail, Other",USA,2964.24,67.91,30.9,-1.59%,1014891
1148,CVBF,CVB Financial Corp.,Financial,Regional - Pacific Banks,USA,2961.28,16.14,20.95,0.38%,242668
1149,ALTR,Altair Engineering Inc.,Technology,Semiconductor - Specialized,USA,2950.03,139.2,41.62,2.92%,223384
1150,NUVA,"NuVasive, Inc.",Healthcare,Medical Appliances & Equipment,USA,2949.61,61.24,57.08,-0.64%,168478
1151,CSFL,CenterState Bank Corporation,Financial,Regional - Southeast Banks,USA,2942.44,12.85,23.04,0.09%,233705
1152,AVA,Avista Corporation,Utilities,Diversified Utilities,USA,2935.02,14.96,44.83,0.74%,105177
1153,R,"Ryder System, Inc.",Services,Rental & Leasing Services,USA,2922.83,9.99,55.76,0.70%,270662
1154,IRDM,Iridium Communications Inc.,Technology,Diversified Communication Services,USA,2917.51,,23.4,-1.76%,302226
1155,AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,2913.9,11.35,16.82,1.88%,2192620
1156,NS,NuStar Energy L.P.,Basic Materials,Oil & Gas Pipelines,USA,2910.54,,27.63,2.03%,116683
1157,ONB,Old National Bancorp,Financial,Regional - Midwest Banks,USA,2910.48,13.69,16.81,1.02%,509445
1158,HMSY,HMS Holdings Corp.,Services,Business Services,USA,2909.56,43.73,33.89,-0.56%,146656
1159,SSD,"Simpson Manufacturing Co., Inc.",Industrial Goods,Small Tools & Accessories,USA,2908.77,24.73,65.72,0.38%,101804
1160,KW,"Kennedy-Wilson Holdings, Inc.",Financial,Property Management,USA,2908.76,20.26,20.65,0.98%,192218
1161,CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,2898.06,3.5,1.84,-0.54%,30928372
1162,KMT,Kennametal Inc.,Industrial Goods,Machine Tools & Accessories,USA,2897.49,9.06,35.13,-0.37%,461515
1163,HEP,"Holly Energy Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,2896.49,16.04,27.98,0.25%,65267
1164,LAD,"Lithia Motors, Inc.",Services,Auto Dealerships,USA,2895.33,11.74,124.05,2.17%,183204
1165,HGV,Hilton Grand Vacations Inc.,Services,Resorts & Casinos,USA,2893.56,9.77,32.14,1.48%,934889
1166,ADSW,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,2881.86,2303.57,32.25,0.28%,339407
1167,ENS,EnerSys,Industrial Goods,Industrial Electrical Equipment,USA,2870.13,21.52,66.97,-0.49%,67674
1168,IMMU,"Immunomedics, Inc.",Healthcare,Biotechnology,USA,2855.51,,14.93,5.21%,2029341
1169,PRLB,"Proto Labs, Inc.",Industrial Goods,Machine Tools & Accessories,USA,2855.08,38.25,109.98,-1.19%,67201
1170,BXS,BancorpSouth Bank,Financial,Regional - Southeast Banks,USA,2854.94,13.72,28.69,0.60%,176272
1171,GKOS,Glaukos Corporation,Healthcare,Medical Instruments & Supplies,USA,2848.67,,77.79,-0.03%,101889
1172,BRKS,"Brooks Automation, Inc.",Technology,Semiconductor Equipment & Materials,USA,2848.43,,39.6,2.01%,408917
1173,B,Barnes Group Inc.,Industrial Goods,Industrial Equipment & Components,USA,2845.35,17.97,56.21,0.18%,65928
1174,NAD,Nuveen Quality Municipal Income Fund,Financial,Diversified Investments,USA,2840.48,,14.07,0.21%,171040
1175,MNRO,"Monro, Inc.",Consumer Goods,Auto Parts,USA,2840.28,37.11,87.42,0.11%,134418
1176,SITE,"SiteOne Landscape Supply, Inc.",Industrial Goods,Small Tools & Accessories,USA,2834.21,44.38,69.5,1.05%,167065
1177,CATY,Cathay General Bancorp,Financial,Regional - Pacific Banks,USA,2833.59,10.63,35.9,0.62%,147438
1178,VMI,"Valmont Industries, Inc.",Industrial Goods,Metal Fabrication,USA,2832.49,31.17,129.42,1.09%,59656
1179,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2830.63,201.21,33.2,0.61%,251071
1180,DORM,"Dorman Products, Inc.",Consumer Goods,Auto Parts,USA,2827.55,22.84,87.27,1.05%,90853
1181,CCOI,"Cogent Communications Holdings, Inc.",Technology,Diversified Communication Services,USA,2825.01,89.31,60.91,2.73%,75601
1182,WAFD,"Washington Federal, Inc.",Financial,Savings & Loans,USA,2824.97,14.02,34.89,1.10%,177371
1183,GATX,GATX Corporation,Services,Rental & Leasing Services,USA,2824.73,18.35,77.39,0.17%,151772
1184,SHOO,"Steven Madden, Ltd.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,2822.35,21.12,33.46,0.66%,373232
1185,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,2821.43,12.93,47.74,0.17%,263311
1186,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2816.38,12.66,30.3,1.58%,162910
1187,PVTL,"Pivotal Software, Inc.",Technology,Application Software,USA,2814.47,,10.49,0.00%,865813
1188,BLD,TopBuild Corp.,Industrial Goods,General Building Materials,USA,2805.96,19.81,82.12,1.15%,165414
1189,NEP,"NextEra Energy Partners, LP",Utilities,Diversified Utilities,USA,2801.88,63.68,49.67,1.00%,236010
1190,WING,Wingstop Inc.,Services,Restaurants,USA,2800.43,127.3,95.35,2.57%,161472
1191,DAN,Dana Incorporated,Consumer Goods,Auto Parts,USA,2800.29,6.81,19.46,0.21%,719173
1192,AWR,American States Water Company,Utilities,Water Utilities,USA,2788.13,42.72,75.82,0.33%,85938
1193,MGY,Magnolia Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,2783.73,6.52,11.31,-0.53%,760068
1194,FULT,Fulton Financial Corporation,Financial,Regional - Northeast Banks,USA,2781,13.29,16.37,0.99%,374091
1195,SPB,"Spectrum Brands Holdings, Inc.",Consumer Goods,Personal Products,USA,2774.41,7.63,53.56,1.54%,377517
1196,ARI,"Apollo Commercial Real Estate Finance, Inc.",Financial,REIT - Diversified,USA,2771.5,12.16,18.43,0.44%,461301
1197,ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2761.29,366.85,26.78,1.63%,667066
1198,BID,Sotheby's,Services,"Specialty Retail, Other",USA,2756.93,29.45,58.2,0.07%,188069
1199,GLIBP,"GCI Liberty, Inc.",Technology,Telecom Services - Domestic,USA,2755.14,,25.52,1.15%,7796
1200,RPD,"Rapid7, Inc.",Technology,Application Software,USA,2755,,59.26,2.19%,502743
1201,AVX,AVX Corporation,Technology,Diversified Electronics,USA,2750.65,10.26,16.47,0.24%,64962
1202,RETA,"Reata Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2746.58,,94.19,-0.46%,95274
1203,ENR,"Energizer Holdings, Inc.",Consumer Goods,Personal Products,USA,2745.05,52.96,39.72,1.85%,630523
1204,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,2742.67,71.94,47.84,1.01%,192660
1205,TCP,"TC PipeLines, LP",Basic Materials,Oil & Gas Pipelines,USA,2742.3,,38.51,0.36%,48922
1206,FNSR,Finisar Corporation,Technology,Communication Equipment,USA,2736.79,,23.07,0.13%,947581
1207,CNO,"CNO Financial Group, Inc.",Financial,Accident & Health Insurance,USA,2736.12,,17,1.74%,410832
1208,MUSA,Murphy USA Inc.,Services,"Specialty Retail, Other",USA,2732.64,15.43,84.97,0.27%,134204
1209,BL,"BlackLine, Inc.",Technology,Application Software,USA,2731.85,,49.67,0.83%,447920
1210,TENB,"Tenable Holdings, Inc.",Technology,Business Software & Services,USA,2729.6,,28.9,0.84%,201496
1211,ITGR,Integer Holdings Corporation,Healthcare,Medical Appliances & Equipment,USA,2724.48,41.07,82.51,0.81%,69185
1212,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2720.73,,46.54,-1.40%,533229
1213,BGCP,"BGC Partners, Inc.",Financial,Investment Brokerage - National,USA,2712.47,16.88,5.4,0.56%,1009416
1214,FUN,"Cedar Fair, L.P.",Services,General Entertainment,USA,2707.95,23.59,48.09,0.15%,205222
1215,LEXEA,"Liberty Expedia Holdings, Inc.",Technology,Internet Information Providers,USA,2707.61,,48.48,0.66%,129563
1216,OI,"Owens-Illinois, Inc.",Consumer Goods,Packaging & Containers,USA,2707.49,21.57,17.54,0.69%,450724
1217,MDCO,The Medicines Company,Healthcare,Drugs - Generic,USA,2705.04,,37.44,1.19%,1182272
1218,EE,El Paso Electric Company,Utilities,Electric Utilities,USA,2687.93,27.61,65.8,0.35%,109991
1219,CVET,"Covetrus, Inc.",Technology,Healthcare Information Services,USA,2687.66,41.15,24.73,0.20%,4596534
1220,PCH,PotlatchDeltic Corporation,Industrial Goods,"Lumber, Wood Production",USA,2675.25,23.7,40.43,1.02%,200707
1221,ABM,ABM Industries Incorporated,Services,Business Services,USA,2674.63,32.57,40.22,0.85%,222666
1222,YELP,Yelp Inc.,Technology,Internet Information Providers,USA,2665.53,51.6,34.73,1.11%,466348
1223,SUN,Sunoco LP,Basic Materials,Oil & Gas Refining & Marketing,USA,2664.77,16.08,32.04,0.50%,207080
1224,ESRT,"Empire State Realty Trust, Inc.",Financial,REIT - Diversified,USA,2663.82,42.12,15.29,1.12%,464958
1225,ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,USA,2657.47,,10.46,1.06%,541777
1226,LGF-A,Lions Gate Entertainment Corp.,Services,Entertainment - Diversified,USA,2655.57,,12.34,-2.68%,883729
1227,MLHR,"Herman Miller, Inc.",Consumer Goods,Business Equipment,USA,2648.34,16.46,45.01,0.81%,291424
1228,GEL,"Genesis Energy, L.P.",Basic Materials,Oil & Gas Pipelines,USA,2645.32,,21.74,0.69%,152641
1229,IGT,International Game Technology PLC,Services,Gaming Activities,USA,2642.85,25.06,13.28,2.00%,1213304
1230,WK,Workiva Inc.,Technology,Application Software,USA,2638.25,,59.22,0.94%,123523
1231,KWR,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,USA,2628.09,38.55,197.72,-2.98%,39270
1232,CAR,"Avis Budget Group, Inc.",Services,Rental & Leasing Services,USA,2622.92,17.74,34.87,1.16%,308590
1233,AIN,Albany International Corp.,Industrial Goods,Textile Industrial,USA,2622.52,26.31,83.44,0.23%,91817
1234,COLB,"Columbia Banking System, Inc.",Financial,Savings & Loans,USA,2610.75,14.8,36.13,0.87%,105561
1235,NGHCP,National General Holdings Corp.,Financial,Property & Casualty Insurance,USA,2607.62,13.74,24.34,0.33%,1400
1236,MANT,ManTech International Corporation,Technology,Security Software & Services,USA,2601.46,31.68,65.96,1.51%,64690
1237,SHAK,Shake Shack Inc.,Services,Specialty Eateries,USA,2596.32,149.01,72.12,3.06%,479531
1238,ICPT,"Intercept Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2593.23,,80.46,2.29%,278849
1239,SSB,South State Corporation,Financial,Regional - Mid-Atlantic Banks,USA,2591.48,14.99,74,0.75%,96421
1240,REZI,"Resideo Technologies, Inc.",Services,Security & Protection Services,USA,2586.61,31.97,21.9,0.23%,961696
1241,GDOT,Green Dot Corporation,Financial,Credit Services,USA,2586.13,23.69,49.11,0.82%,154792
1242,JW-A,"John Wiley & Sons, Inc.",Services,Publishing - Books,USA,2585.27,16.71,45.83,-0.46%,138668
1243,TRN,"Trinity Industries, Inc.",Services,Railroads,USA,2580.62,24.34,19.79,-0.70%,765346
1244,ATGE,Adtalem Global Education Inc.,Services,Education & Training Services,USA,2580.07,20.84,45.52,0.26%,282347
1245,NGHCN,National General Holdings Corp.,Financial,Property & Casualty Insurance,USA,2576.55,13.57,24.05,-0.82%,12417
1246,CEQP,Crestwood Equity Partners LP,Basic Materials,Oil & Gas Pipelines,USA,2575.78,,36.51,0.69%,74666
1247,MAIN,Main Street Capital Corporation,Financial,Diversified Investments,USA,2575.08,14.96,41.38,0.10%,145704
1248,BRC,Brady Corporation,Technology,Security Software & Services,USA,2574.66,20.13,48.92,0.33%,237854
1249,NGHCO,National General Holdings Corp.,Financial,Property & Casualty Insurance,USA,2573.35,13.56,24.02,-0.29%,20447
1250,BOX,"Box, Inc.",Technology,Application Software,USA,2568.14,,17.59,1.38%,657492
1251,NUS,"Nu Skin Enterprises, Inc.",Consumer Goods,Personal Products,USA,2563.87,20.65,47.13,-2.08%,804372
1252,BDN,Brandywine Realty Trust,Financial,REIT - Diversified,USA,2560.95,27.3,14.55,-0.55%,527040
1253,NGHC,National General Holdings Corp.,Financial,Property & Casualty Insurance,USA,2555.57,13.06,22.84,0.31%,110765
1254,SEAS,"SeaWorld Entertainment, Inc.",Services,Sporting Activities,USA,2555,40.29,31.59,-0.44%,1102146
1255,MGEE,"MGE Energy, Inc.",Utilities,Diversified Utilities,USA,2550.52,28.91,73.57,0.55%,33179
1256,CRUS,"Cirrus Logic, Inc.",Technology,Semiconductor - Specialized,USA,2548.22,30.36,44.24,-0.34%,196689
1257,RPAI,"Retail Properties of America, Inc.",Financial,REIT - Retail,USA,2543.56,43.93,11.95,1.27%,590888
1258,QTS,"QTS Realty Trust, Inc.",Financial,REIT - Industrial,USA,2538.23,,46.2,1.65%,136945
1259,XNCR,"Xencor, Inc.",Healthcare,Biotechnology,USA,2534.85,70.37,45.46,3.29%,582394
1260,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,2533.96,52.64,49.27,-1.70%,83397
1261,GTLS,"Chart Industries, Inc.",Industrial Goods,Metal Fabrication,USA,2531.29,51.84,73.82,-0.61%,158728
1262,CADE,Cadence Bancorporation,Financial,Regional - Southeast Banks,USA,2529.81,10.18,19.89,-0.55%,406577
1263,IRBT,iRobot Corporation,Consumer Goods,Appliances,USA,2529.65,28.31,91.29,2.02%,344068
1264,X,United States Steel Corporation,Basic Materials,Steel & Iron,USA,2527.59,2.26,14.59,-0.61%,5393102
1265,ALRM,"Alarm.com Holdings, Inc.",Technology,Application Software,USA,2521.02,134.17,52.73,1.13%,103340
1266,HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,USA,2521,,17.69,1.78%,496338
1267,INDB,Independent Bank Corp.,Financial,Regional - Northeast Banks,USA,2520.45,16.06,74.68,1.00%,55558
1268,PTCT,"PTC Therapeutics, Inc.",Healthcare,Biotechnology,USA,2519.78,,44.98,0.13%,367258
1269,KTOS,"Kratos Defense & Security Solutions, Inc.",Services,Security & Protection Services,USA,2518.65,393.61,24.01,0.80%,881717
1270,PDM,"Piedmont Office Realty Trust, Inc.",Financial,REIT - Office,USA,2517.86,21.08,20.24,0.65%,402447
1271,YETI,"YETI Holdings, Inc.",Consumer Goods,Packaging & Containers,USA,2516.65,40.31,30.27,3.42%,871097
1272,TCO,"Taubman Centers, Inc.",Financial,REIT - Retail,USA,2515.97,46.03,40.97,1.06%,182770
1273,ADC,Agree Realty Corporation,Financial,Property Management,USA,2513.19,38.2,65.55,1.16%,74745
1274,FIBK,"First Interstate BancSystem, Inc.",Financial,Regional - Pacific Banks,USA,2509.08,14.12,39.42,0.48%,79021
1275,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,Financial,Closed-End Fund - Foreign,USA,2508.88,,8.31,0.48%,324692
1276,AMN,"AMN Healthcare Services, Inc.",Industrial Goods,General Building Materials,USA,2497.62,19.66,54.19,-0.39%,155654
1277,GEO,"The GEO Group, Inc.",Financial,REIT - Healthcare Facilities,USA,2497,16.61,20.85,1.26%,359502
1278,RRR,"Red Rock Resorts, Inc.",Services,Rental & Leasing Services,USA,2496.74,21.27,21.4,-0.47%,147476
1279,BTU,Peabody Energy Corporation,Basic Materials,Industrial Metals & Minerals,USA,2493.33,4.94,22.98,0.13%,624108
1280,ITRI,"Itron, Inc.",Technology,Scientific & Technical Instruments,USA,2486.56,55.88,62.7,0.82%,107272
1281,CXP,"Columbia Property Trust, Inc.",Financial,REIT - Office,USA,2479.83,222.19,21.33,0.76%,189063
1282,CLNY,"Colony Capital, Inc.",Financial,REIT - Diversified,USA,2477.62,,5.08,0.59%,1551703
1283,HI,"Hillenbrand, Inc.",Industrial Goods,Diversified Machinery,USA,2476.99,15.03,39.9,0.99%,65361
1284,CWT,California Water Service Group,Utilities,Water Utilities,USA,2470.18,11.79,51.37,0.63%,104786
1285,CNS,"Cohen & Steers, Inc.",Financial,Asset Management,USA,2468.69,21.04,52.57,1.08%,92788
1286,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,2467.24,,10.5,3.45%,420578
1287,BECN,"Beacon Roofing Supply, Inc.",Industrial Goods,General Building Materials,USA,2464.92,971.05,36.9,-0.22%,375054
1288,APY,Apergy Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,2464.01,26.95,31.85,0.47%,357057
1289,TR,"Tootsie Roll Industries, Inc.",Consumer Goods,Confectioners,USA,2459.77,43.91,38.38,2.35%,59905
1290,AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,2450.84,8.7,27.28,1.53%,230675
1291,WWW,"Wolverine World Wide, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,2447.7,13.86,27.78,1.65%,226171
1292,XHR,"Xenia Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,2444.9,15.86,21.56,1.22%,204218
1293,MDP,Meredith Corporation,Services,Publishing - Periodicals,USA,2444.3,53.92,54.67,-0.27%,141287
1294,CNMD,CONMED Corporation,Healthcare,Medical Appliances & Equipment,USA,2434.45,82.54,86.42,0.48%,99849
1295,IBOC,International Bancshares Corporation,Financial,Regional - Southwest  Banks,USA,2433.1,11.69,37.49,0.40%,51369
1296,PRO,"PROS Holdings, Inc.",Technology,Application Software,USA,2417.81,,65.1,0.09%,404814
1297,CXW,"CoreCivic, Inc.",Financial,REIT - Diversified,USA,2407.33,14.01,20.14,-0.30%,454894
1298,IBTX,"Independent Bank Group, Inc.",Financial,Regional - Southeast Banks,USA,2405.75,13.41,55.65,0.61%,62945
1299,SITC,SITE Centers Corp.,Financial,REIT - Retail,USA,2400.97,,13.42,0.75%,1024844
1300,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2400.6,155.28,29.97,0.50%,278947
1301,POL,PolyOne Corporation,Basic Materials,Specialty Chemicals,USA,2394.68,16.58,30.78,-0.97%,311203
1302,RVLV,"Revolve Group, Inc.",Services,"Specialty Retail, Other",USA,2389.6,122.89,34.9,0.26%,1315480
1303,EBS,Emergent BioSolutions Inc.,Healthcare,Biotechnology,USA,2389.05,64.44,46.78,1.06%,191451
1304,PSEC,Prospect Capital Corporation,Financial,Asset Management,USA,2379.39,10.88,6.55,-0.30%,877622
1305,FUL,H.B. Fuller Company,Basic Materials,Specialty Chemicals,USA,2376.72,19.34,46.83,-0.13%,117835
1306,APPN,Appian Corporation,Technology,Application Software,USA,2374.58,,36.69,3.26%,254106
1307,FBP,First BanCorp.,Financial,Foreign Regional Banks,USA,2373.23,11.38,10.97,1.48%,557163
1308,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,2369.65,,18.1,0.89%,346259
1309,KOS,Kosmos Energy Ltd.,Basic Materials,Independent Oil & Gas,USA,2368.86,,5.96,-0.50%,5216424
1310,PTEN,"Patterson-UTI Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,2368.6,,11.17,0.09%,1339894
1311,IPHI,Inphi Corporation,Technology,Semiconductor - Broad Line,USA,2368.04,,52.46,0.48%,288155
1312,FFBC,First Financial Bancorp.,Financial,Regional - Midwest Banks,USA,2366.57,12.77,24.37,1.46%,173401
1313,VSH,"Vishay Intertechnology, Inc.",Technology,Semiconductor - Broad Line,USA,2364.9,6.65,16.36,-0.55%,371496
1314,INT,World Fuel Services Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,2363.1,18.2,35.99,-0.06%,206754
1315,NNI,"Nelnet, Inc.",Financial,Credit Services,USA,2359.99,15.85,60.02,1.21%,34655
1316,POWI,"Power Integrations, Inc.",Technology,Semiconductor - Integrated Circuits,USA,2339.53,45.35,80.81,3.34%,104056
1317,AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,USA,2327.99,16.79,61.07,0.54%,54453
1318,EGHT,"8x8, Inc.",Technology,Diversified Communication Services,USA,2326.26,,24.64,0.49%,881966
1319,CTRE,"CareTrust REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,2323.24,34.2,24.45,0.82%,432686
1320,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,2315.14,349.24,23.05,2.04%,404483
1321,QDEL,Quidel Corporation,Healthcare,Diagnostic Substances,USA,2311.02,38.9,58.7,0.24%,42026
1322,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2308.11,,20.22,-0.54%,1200968
1323,IIVI,II-VI Incorporated,Technology,Scientific & Technical Instruments,USA,2302.92,22.93,37.24,1.64%,512397
1324,IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,USA,2297.57,22.28,94.02,1.71%,38743
1325,LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,2294.19,3.33,117.17,2.47%,346638
1326,WBT,"Welbilt, Inc.",Industrial Goods,Diversified Machinery,USA,2291.98,43.24,16.3,0.18%,677638
1327,URBN,"Urban Outfitters, Inc.",Services,Apparel Stores,USA,2287.73,8.63,22.96,1.41%,1331731
1328,PEGI,Pattern Energy Group Inc.,Utilities,Diversified Utilities,USA,2286.73,,23.56,0.81%,341442
1329,KBH,KB Home,Industrial Goods,Residential Construction,USA,2286.21,9.94,26.59,1.72%,1018985
1330,PENN,"Penn National Gaming, Inc.",Services,Resorts & Casinos,USA,2283.06,21.11,19.51,0.05%,465734
1331,ALGT,Allegiant Travel Company,Services,Regional Airlines,USA,2279.43,14.26,143.18,1.24%,71917
1332,HAIN,"The Hain Celestial Group, Inc.",Services,Food Wholesale,USA,2279.12,,21.89,1.06%,679990
1333,EVOP,"EVO Payments, Inc.",Technology,Business Software & Services,USA,2278.75,,29.14,0.38%,125849
1334,LILAK,Liberty Latin America Ltd.,Services,CATV Systems,USA,2276.81,,17.4,1.87%,586352
1335,EXLS,"ExlService Holdings, Inc.",Services,Business Services,USA,2276.68,48.09,66.55,1.71%,47925
1336,UFPI,"Universal Forest Products, Inc.",Industrial Goods,"Lumber, Wood Production",USA,2275.84,16.23,37.58,0.62%,76543
1337,MEDP,"Medpace Holdings, Inc.",Healthcare,Medical Laboratories & Research,USA,2275.07,31.04,64.78,0.48%,207192
1338,AKR,Acadia Realty Trust,Financial,Property Management,USA,2272.87,73.27,27.55,0.22%,141068
1339,PDCE,"PDC Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,2272.69,,34.34,-0.35%,841055
1340,MYOK,"MyoKardia, Inc.",Healthcare,Biotechnology,USA,2270.48,,51.16,2.83%,179619
1341,CVLT,"Commvault Systems, Inc.",Technology,Application Software,USA,2270.14,771.21,50.9,1.94%,192306
1342,INOV,"Inovalon Holdings, Inc.",Technology,Healthcare Information Services,USA,2269.89,,14.67,1.59%,184617
1343,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,2263.77,,44.58,3.60%,930980
1344,CRS,Carpenter Technology Corporation,Industrial Goods,Metal Fabrication,USA,2262.89,14.39,47.47,-0.59%,82073
1345,NZF,Nuveen Municipal Credit Income Fund,Financial,Asset Management,USA,2255.54,,15.87,0.57%,110440
1346,ARLP,"Alliance Resource Partners, L.P.",Basic Materials,Industrial Metals & Minerals,USA,2251.66,4.68,17.62,1.85%,332441
1347,EVTC,"EVERTEC, Inc.",Technology,Business Software & Services,USA,2250.74,27.02,32.61,0.71%,151990
1348,WCC,"WESCO International, Inc.",Services,Industrial Equipment Wholesale,USA,2245.38,10.61,50.12,0.18%,283511
1349,PQG,PQ Group Holdings Inc.,Basic Materials,Specialty Chemicals,USA,2243.92,40.29,16.48,0.37%,66351
1350,TWOU,"2U, Inc.",Technology,Application Software,USA,2239.79,,38.98,-0.08%,359383
1351,XLRN,Acceleron Pharma Inc.,Healthcare,Biotechnology,USA,2235.65,,42.6,0.83%,202967
1352,TMHC,Taylor Morrison Home Corporation,Industrial Goods,Residential Construction,USA,2227.5,11.41,21.41,1.28%,445119
1353,UTF,"Cohen & Steers Infrastructure Fund, Inc",Financial,Closed-End Fund - Equity,USA,2225.99,,26.09,0.31%,110999
1354,HCSG,"Healthcare Services Group, Inc.",Services,Business Services,USA,2225.32,24.11,29.95,-1.12%,322950
1355,WOR,"Worthington Industries, Inc.",Basic Materials,Steel & Iron,USA,2224.46,15.44,40.16,-0.17%,152585
1356,WHD,"Cactus, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,2223.97,37.86,30.82,-0.61%,310778
1357,YEXT,"Yext, Inc.",Technology,Internet Software & Services,USA,2220.11,,20.46,0.49%,359034
1358,GHDX,"Genomic Health, Inc.",Healthcare,Medical Laboratories & Research,USA,2217.09,53.58,60.38,1.87%,311573
1359,LXP,Lexington Realty Trust,Financial,REIT - Diversified,USA,2216.84,8.87,9.55,1.38%,449788
1360,AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,USA,2210.38,22.41,34.64,-0.14%,154574
1361,GVA,Granite Construction Incorporated,Industrial Goods,Heavy Construction,USA,2209.8,247.75,47.32,1.46%,281290
1362,SFNC,Simmons First National Corporation,Financial,Money Center Banks,USA,2206.88,10.27,23.45,1.08%,135891
1363,UCBI,"United Community Banks, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,2206.27,13.18,28.3,-0.11%,170410
1364,WSFS,WSFS Financial Corporation,Financial,Regional - Mid-Atlantic Banks,USA,2198.46,12.5,41.78,1.36%,119133
1365,PDCO,"Patterson Companies, Inc.",Services,Medical Equipment Wholesale,USA,2195.58,25.86,22.34,0.90%,743873
1366,LCII,LCI Industries,Consumer Goods,Recreational Vehicles,USA,2193.13,16.27,87.55,-0.79%,253404
1367,WRE,Washington Real Estate Investment Trust,Financial,REIT - Office,USA,2192.52,124.52,27.52,0.55%,155192
1368,INSM,Insmed Incorporated,Healthcare,Biotechnology,USA,2191.81,,25.43,0.71%,305544
1369,WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,USA,2190.95,37.28,159.69,0.54%,68889
1370,BDC,Belden Inc.,Industrial Goods,Industrial Electrical Equipment,USA,2190.18,15.37,55.56,0.42%,359804
1371,APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA,2187.63,10.91,27.79,1.28%,77972
1372,RH,RH,Services,Home Furnishing Stores,USA,2184.7,20.28,121.17,1.27%,453049
1373,FMBI,"First Midwest Bancorp, Inc.",Financial,Regional - Midwest Banks,USA,2180.59,13.37,20.63,1.13%,224591
1374,KFY,Korn Ferry,Services,Staffing & Outsourcing Services,USA,2176.29,195.85,39.17,-0.94%,224934
1375,HSC,Harsco Corporation,Basic Materials,Industrial Metals & Minerals,USA,2159.49,18.09,26.97,0.26%,246004
1376,WERN,"Werner Enterprises, Inc.",Services,Trucking,USA,2143.53,12.53,30.9,0.95%,240337
1377,MD,"MEDNAX, Inc.",Healthcare,Specialized Health Services,USA,2142.86,9.15,25.01,0.77%,358107
1378,SMPL,The Simply Good Foods Company,Consumer Goods,Food - Major Diversified,USA,2141.07,46.71,26.67,5.08%,1365562
1379,ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,USA,2140.83,25.77,82.6,-0.66%,55573
1380,SFM,"Sprouts Farmers Market, Inc.",Services,Grocery Stores,USA,2139.48,15.68,18.49,-0.27%,2945991
